date,country,confirmed_cases,deaths,recovered,vaccinations,vaccinated_pct
2020-03-01,USA,104,1,89,0,0.0
2020-03-02,USA,99,0,91,0,0.0
2020-03-03,USA,119,0,112,0,0.0
2020-03-04,USA,100,0,75,0,0.0
2020-03-05,USA,109,1,84,0,0.0
2020-03-06,USA,98,0,78,0,0.0
2020-03-07,USA,126,0,104,0,0.0
2020-03-08,USA,107,1,79,0,0.0
2020-03-09,USA,108,1,87,0,0.0
2020-03-10,USA,116,0,108,0,0.0
2020-03-11,USA,127,0,105,0,0.0
2020-03-12,USA,105,2,94,0,0.0
2020-03-13,USA,130,0,97,0,0.0
2020-03-14,USA,122,1,94,0,0.0
2020-03-15,USA,120,0,101,0,0.0
2020-03-16,USA,131,0,124,0,0.0
2020-03-17,USA,122,0,110,0,0.0
2020-03-18,USA,144,2,103,0,0.0
2020-03-19,USA,123,2,106,0,0.0
2020-03-20,USA,130,0,101,0,0.0
2020-03-21,USA,147,2,120,0,0.0
2020-03-22,USA,144,2,121,0,0.0
2020-03-23,USA,141,1,114,0,0.0
2020-03-24,USA,144,1,119,0,0.0
2020-03-25,USA,143,1,127,0,0.0
2020-03-26,USA,137,2,124,0,0.0
2020-03-27,USA,161,2,120,0,0.0
2020-03-28,USA,153,2,141,0,0.0
2020-03-29,USA,144,0,116,0,0.0
2020-03-30,USA,159,0,132,0,0.0
2020-03-31,USA,138,0,108,0,0.0
2020-04-01,USA,157,1,138,0,0.0
2020-04-02,USA,165,3,126,0,0.0
2020-04-03,USA,137,0,97,0,0.0
2020-04-04,USA,166,0,128,0,0.0
2020-04-05,USA,165,0,135,0,0.0
2020-04-06,USA,186,1,164,0,0.0
2020-04-07,USA,191,2,160,0,0.0
2020-04-08,USA,159,0,135,0,0.0
2020-04-09,USA,153,2,114,0,0.0
2020-04-10,USA,164,3,120,0,0.0
2020-04-11,USA,168,3,155,0,0.0
2020-04-12,USA,194,3,163,0,0.0
2020-04-13,USA,160,0,148,0,0.0
2020-04-14,USA,190,1,149,0,0.0
2020-04-15,USA,196,3,175,0,0.0
2020-04-16,USA,180,0,166,0,0.0
2020-04-17,USA,197,0,146,0,0.0
2020-04-18,USA,224,3,169,0,0.0
2020-04-19,USA,181,1,160,0,0.0
2020-04-20,USA,214,2,180,0,0.0
2020-04-21,USA,197,1,149,0,0.0
2020-04-22,USA,201,3,173,0,0.0
2020-04-23,USA,205,2,169,0,0.0
2020-04-24,USA,217,1,153,0,0.0
2020-04-25,USA,191,3,179,0,0.0
2020-04-26,USA,207,0,193,0,0.0
2020-04-27,USA,221,4,202,0,0.0
2020-04-28,USA,201,3,156,0,0.0
2020-04-29,USA,221,4,193,0,0.0
2020-04-30,USA,204,2,193,0,0.0
2020-05-01,USA,223,3,197,0,0.0
2020-05-02,USA,243,1,188,0,0.0
2020-05-03,USA,235,4,218,0,0.0
2020-05-04,USA,238,3,205,0,0.0
2020-05-05,USA,248,4,194,0,0.0
2020-05-06,USA,218,2,154,0,0.0
2020-05-07,USA,278,1,236,0,0.0
2020-05-08,USA,228,0,189,0,0.0
2020-05-09,USA,225,2,162,0,0.0
2020-05-10,USA,242,2,208,0,0.0
2020-05-11,USA,203,3,156,0,0.0
2020-05-12,USA,230,0,216,0,0.0
2020-05-13,USA,258,2,191,0,0.0
2020-05-14,USA,240,2,211,0,0.0
2020-05-15,USA,226,4,200,0,0.0
2020-05-16,USA,298,2,227,0,0.0
2020-05-17,USA,283,0,206,0,0.0
2020-05-18,USA,268,2,194,0,0.0
2020-05-19,USA,192,0,155,0,0.0
2020-05-20,USA,298,3,212,0,0.0
2020-05-21,USA,296,3,271,0,0.0
2020-05-22,USA,246,0,212,0,0.0
2020-05-23,USA,271,5,229,0,0.0
2020-05-24,USA,307,2,257,0,0.0
2020-05-25,USA,271,5,251,0,0.0
2020-05-26,USA,283,0,220,0,0.0
2020-05-27,USA,265,0,232,0,0.0
2020-05-28,USA,302,4,272,0,0.0
2020-05-29,USA,264,4,238,0,0.0
2020-05-30,USA,285,2,255,0,0.0
2020-05-31,USA,301,5,243,0,0.0
2020-06-01,USA,310,0,287,0,0.0
2020-06-02,USA,324,2,299,0,0.0
2020-06-03,USA,302,5,255,0,0.0
2020-06-04,USA,276,1,216,0,0.0
2020-06-05,USA,328,5,294,0,0.0
2020-06-06,USA,301,0,252,0,0.0
2020-06-07,USA,328,2,239,0,0.0
2020-06-08,USA,317,4,229,0,0.0
2020-06-09,USA,216,0,195,0,0.0
2020-06-10,USA,205,0,194,0,0.0
2020-06-11,USA,189,3,177,0,0.0
2020-06-12,USA,202,3,169,0,0.0
2020-06-13,USA,229,0,188,0,0.0
2020-06-14,USA,215,0,157,0,0.0
2020-06-15,USA,221,3,187,0,0.0
2020-06-16,USA,214,1,197,0,0.0
2020-06-17,USA,221,0,185,0,0.0
2020-06-18,USA,218,2,190,0,0.0
2020-06-19,USA,255,3,236,0,0.0
2020-06-20,USA,256,1,191,0,0.0
2020-06-21,USA,182,2,131,0,0.0
2020-06-22,USA,226,1,204,0,0.0
2020-06-23,USA,204,3,185,0,0.0
2020-06-24,USA,197,3,181,0,0.0
2020-06-25,USA,242,4,178,0,0.0
2020-06-26,USA,191,3,174,0,0.0
2020-06-27,USA,220,1,169,0,0.0
2020-06-28,USA,223,3,208,0,0.0
2020-06-29,USA,215,2,157,0,0.0
2020-06-30,USA,226,1,196,0,0.0
2020-07-01,USA,196,0,170,0,0.0
2020-07-02,USA,253,2,231,0,0.0
2020-07-03,USA,263,4,210,0,0.0
2020-07-04,USA,237,3,179,0,0.0
2020-07-05,USA,245,2,198,0,0.0
2020-07-06,USA,221,2,198,0,0.0
2020-07-07,USA,257,4,241,0,0.0
2020-07-08,USA,195,1,184,0,0.0
2020-07-09,USA,188,2,143,0,0.0
2020-07-10,USA,235,1,184,0,0.0
2020-07-11,USA,227,3,168,0,0.0
2020-07-12,USA,218,0,158,0,0.0
2020-07-13,USA,227,1,179,0,0.0
2020-07-14,USA,267,0,240,0,0.0
2020-07-15,USA,216,3,201,0,0.0
2020-07-16,USA,228,3,202,0,0.0
2020-07-17,USA,220,1,180,0,0.0
2020-07-18,USA,201,1,178,0,0.0
2020-07-19,USA,242,2,202,0,0.0
2020-07-20,USA,229,2,174,0,0.0
2020-07-21,USA,216,0,169,0,0.0
2020-07-22,USA,219,0,202,0,0.0
2020-07-23,USA,266,4,219,0,0.0
2020-07-24,USA,234,2,207,0,0.0
2020-07-25,USA,212,1,167,0,0.0
2020-07-26,USA,252,1,239,0,0.0
2020-07-27,USA,205,0,151,0,0.0
2020-07-28,USA,220,1,170,0,0.0
2020-07-29,USA,235,2,222,0,0.0
2020-07-30,USA,229,4,210,199,0.26666666666666666
2020-07-31,USA,222,0,193,471,0.5333333333333333
2020-08-01,USA,237,2,182,706,0.8
